Date,Open,High,Low,Close,Adj Close,Volume,bb_bbm,bb_bbh,bb_bbl,rsi
2022-07-08,145.25999450683594,147.5500030517578,145.0,147.0399932861328,145.39503479003906,64547800,138.2229995727539,147.4793862850381,128.96661286046972,57.62920414067385
2022-07-11,145.6699981689453,146.63999938964844,143.77999877929688,144.8699951171875,143.24932861328125,63141600,138.33449935913086,147.85109006352482,128.8179086547369,54.15978372408386
2022-07-12,145.75999450683594,148.4499969482422,145.0500030517578,145.86000061035156,144.22824096679688,77588800,138.7709991455078,148.81290348724784,128.72909480376777,55.47671887615229
2022-07-13,142.99000549316406,146.4499969482422,142.1199951171875,145.49000549316406,143.8623809814453,71185600,139.45149917602538,149.37719162122985,129.5258067308209,54.84258822372634
2022-07-14,144.0800018310547,148.9499969482422,143.25,148.47000122070312,146.80905151367188,78140700,140.23699951171875,150.40374708828946,130.07025193514804,58.91588665609909
2022-07-15,149.77999877929688,150.86000061035156,148.1999969482422,150.1699981689453,148.49000549316406,76259900,140.97399978637696,151.75831748324887,130.18968208950506,61.0730580810145
2022-07-18,150.74000549316406,151.57000732421875,146.6999969482422,147.07000732421875,145.42471313476562,81420900,141.8245002746582,151.67423511979345,131.97476542952293,55.36434925189518
2022-07-19,147.9199981689453,151.22999572753906,146.91000366210938,151.0,149.3107452392578,82982400,142.7965003967285,152.230698582615,133.36230221084202,60.41590302971271
2022-07-20,151.1199951171875,153.72000122070312,150.3699951171875,153.0399932861328,151.32794189453125,64823400,143.65500030517578,153.52650177541432,133.78349883493723,62.771190588529095
2022-07-21,154.5,155.57000732421875,151.94000244140625,155.35000610351562,153.61209106445312,65086600,144.65500030517578,154.99939915980434,134.3106014505472,65.28974498605045
2022-07-22,155.38999938964844,156.27999877929688,153.41000366210938,154.08999633789062,152.36618041992188,66675400,145.44599990844728,156.1302903076292,134.76170950926536,62.794362909623274
2022-07-25,154.00999450683594,155.0399932861328,152.27999877929688,152.9499969482422,151.2389373779297,53623900,146.0104995727539,157.02297716179967,134.99802198370813,60.53986959768035
2022-07-26,152.25999450683594,153.08999633789062,150.8000030517578,151.60000610351562,149.90403747558594,55138700,146.50749969482422,157.58674966409842,135.42824972555002,57.88931011763463
2022-07-27,152.5800018310547,157.3300018310547,152.16000366210938,156.7899932861328,155.0359649658203,78620700,147.47499923706056,158.59739070776797,136.35260776635315,64.35121991663719
2022-07-28,156.97999572753906,157.63999938964844,154.41000366210938,157.35000610351562,155.5897216796875,81378700,148.38099975585936,159.62072305385536,137.14127645786337,64.97575053896179
2022-07-29,161.24000549316406,163.6300048828125,159.5,162.50999450683594,160.69198608398438,101786900,149.670499420166,161.1774565959692,138.16354224436282,70.16261871969279
2022-08-01,161.00999450683594,163.58999633789062,160.88999938964844,161.50999450683594,159.70315551757812,67829400,150.79949951171875,162.3005660003139,139.2984330231236,68.05904290643322
2022-08-02,160.10000610351562,162.41000366210938,159.6300048828125,160.00999450683594,158.21994018554688,59907000,151.72199935913085,163.0693986578178,140.3746000604439,64.91510413754087
2022-08-03,160.83999633789062,166.58999633789062,160.75,166.1300048828125,164.27149963378906,82507500,152.88249969482422,165.1054087745379,140.65959061511055,70.83479307665809
2022-08-04,166.00999450683594,167.19000244140625,164.42999267578125,165.80999755859375,163.95504760742188,55474100,153.85549926757812,166.91313838788184,140.7978601472744,70.16812294679973
2022-08-05,163.2100067138672,165.85000610351562,163.0,165.35000610351562,163.7273406982422,56697000,154.77099990844727,168.34612004883712,141.1958797680574,69.16050235146905
2022-08-08,166.3699951171875,167.80999755859375,164.1999969482422,164.8699951171875,163.25201416015625,60276900,155.77099990844727,169.22744254741917,142.31455726947536,68.06213194781219
2022-08-09,164.02000427246094,165.82000732421875,163.25,164.9199981689453,163.30152893066406,63135500,156.72399978637696,169.93529290413628,143.51270666861765,68.11893263011372
2022-08-10,167.67999267578125,169.33999633789062,166.89999389648438,169.24000549316406,167.5791778564453,70170500,157.91149978637696,171.1397723515244,144.68322722122952,72.64532184571252
2022-08-11,170.05999755859375,170.99000549316406,168.19000244140625,168.49000549316406,166.8365020751953,57149200,158.9125,172.1613402100607,145.6636597899393,70.76682606616833
2022-08-12,169.82000732421875,172.1699981689453,169.39999389648438,172.10000610351562,170.41107177734375,68039400,160.0090003967285,173.80096581955615,146.21703497390087,74.22208819598484
2022-08-15,171.52000427246094,173.38999938964844,171.35000610351562,173.19000244140625,171.49037170410156,54091700,161.31500015258788,174.9039671261854,147.72603317899038,75.17615022361126
2022-08-16,172.77999877929688,173.7100067138672,171.66000366210938,173.02999877929688,171.3319549560547,56377100,162.41650009155273,176.05377283512385,148.77922734798162,74.73886485906044
2022-08-17,172.77000427246094,176.14999389648438,172.57000732421875,174.5500030517578,172.8370361328125,79542000,163.49200057983398,177.39196480727068,149.5920363523973,76.15770197897044
2022-08-18,173.75,174.89999389648438,173.1199951171875,174.14999389648438,172.44093322753906,62290100,164.43199996948243,178.54351156856126,150.3204883704036,74.96441570180026
2022-08-19,173.02999877929688,173.74000549316406,171.30999755859375,171.52000427246094,169.83676147460938,70346300,165.30350036621093,178.8958975433678,151.71110318905406,67.47818828353502
2022-08-22,169.69000244140625,169.86000061035156,167.13999938964844,167.57000732421875,165.925537109375,69026800,166.03450088500978,178.40872471546606,153.6602770545535,58.09456120356604
2022-08-23,167.0800018310547,168.7100067138672,166.64999389648438,167.22999572753906,165.5888671875,54147100,166.81600036621094,177.27034698922228,156.3616537431996,57.35519139527029
2022-08-24,167.32000732421875,168.11000061035156,166.25,167.52999877929688,165.88592529296875,53841500,167.35300064086914,176.74116772965488,157.9648335520834,57.864743390125554
2022-08-25,168.77999877929688,170.13999938964844,168.35000610351562,170.02999877929688,168.3613739013672,51218200,167.98700027465821,176.23024860332973,159.7437519459867,61.94538699309738
2022-08-26,170.57000732421875,171.0500030517578,163.55999755859375,163.6199951171875,162.01431274414062,78961000,168.0425003051758,176.15135043127378,159.9336501790778,48.87537282815571
2022-08-29,161.14999389648438,162.89999389648438,159.82000732421875,161.3800048828125,159.79627990722656,73314000,168.0360008239746,176.16596540225103,159.90603624569817,45.27998385749634
2022-08-30,162.1300048828125,162.55999755859375,157.72000122070312,158.91000366210938,157.35052490234375,77906200,167.9810012817383,176.33908919731857,159.622913366158,41.64229013540784
2022-08-31,160.30999755859375,160.5800018310547,157.13999938964844,157.22000122070312,155.67710876464844,87991100,167.5355010986328,177.10306812901902,157.9679340682466,39.31498752369128
2022-09-01,156.63999938964844,158.4199981689453,154.6699981689453,157.9600067138672,156.4098358154297,74229900,167.14300155639648,177.56723588643283,156.71876722636014,40.873228819449565
2022-09-02,159.75,160.36000061035156,154.97000122070312,155.80999755859375,154.2809295654297,76957800,166.6660011291504,178.1898448074189,155.1421574508819,37.833597230340324
2022-09-06,156.47000122070312,157.08999633789062,153.69000244140625,154.52999877929688,153.01351928710938,73714800,166.14900131225585,178.81948673968208,153.47851588482962,36.111788405949454
2022-09-07,154.82000732421875,156.6699981689453,153.61000061035156,155.9600067138672,154.4294891357422,87449600,165.70100173950195,179.1248394522358,152.2771640267681,39.42836596620485
2022-09-08,154.63999938964844,156.36000061035156,152.67999267578125,154.4600067138672,152.94419860839844,84923800,164.9620018005371,179.13175901857852,150.7922445824957,37.24429531220929
2022-09-09,155.47000122070312,157.82000732421875,154.75,157.3699951171875,155.8256378173828,68028800,164.40600128173827,178.84843266968625,149.9635698937903,43.753636509276426
2022-09-12,159.58999633789062,164.25999450683594,159.3000030517578,163.42999267578125,161.82615661621094,104956000,163.97250061035157,177.97903871180574,149.9659625088974,54.36850062886806
2022-09-13,159.89999389648438,160.5399932861328,153.3699951171875,153.83999633789062,152.33026123046875,122656600,163.00500030517577,177.00428395794225,149.0057166524093,41.13759518569759
2022-09-14,154.7899932861328,157.10000610351562,153.61000061035156,155.30999755859375,153.78582763671875,87965400,162.11900024414064,175.7051127466467,148.53288774163457,43.41090635159017
2022-09-15,154.64999389648438,155.24000549316406,151.3800048828125,152.3699951171875,150.8747100830078,90481100,161.0099998474121,173.96243511818065,148.05756457664356,40.07716036885929
2022-09-16,151.2100067138672,151.35000610351562,148.3699951171875,150.6999969482422,149.22108459472656,162278800,159.8375,172.04380571094177,147.63119428905824,38.27892564556668
2022-09-19,149.30999755859375,154.55999755859375,149.10000610351562,154.47999572753906,152.96397399902344,81474200,158.9854995727539,170.1450098392276,147.82598930628018,44.36399740094471
2022-09-20,153.39999389648438,158.0800018310547,153.0800018310547,156.89999389648438,155.36024475097656,107689800,158.45199890136718,168.91752753781026,147.9864702649241,47.90507699318037
2022-09-21,157.33999633789062,158.74000549316406,153.60000610351562,153.72000122070312,152.21145629882812,101696800,157.7764991760254,167.61366364950896,147.93933470254183,43.946828339485165
2022-09-22,152.3800048828125,154.47000122070312,150.91000366210938,152.74000549316406,151.24107360839844,86652500,157.03699951171876,166.01639084329713,148.0576081801404,42.77386938480717
2022-09-23,151.19000244140625,151.47000122070312,148.55999755859375,150.42999267578125,148.9537353515625,96029900,156.05699920654297,163.2510778942981,148.86292051878783,40.05969465234153
2022-09-26,149.66000366210938,153.77000427246094,149.63999938964844,150.77000427246094,149.2904052734375,93339400,155.41449966430665,162.0668847385663,148.762114590047,40.656586723229154
2022-09-27,152.74000549316406,154.72000122070312,149.9499969482422,151.75999450683594,150.27069091796875,84442700,154.93349914550782,161.16907548348053,148.69792280753512,42.45346196546888
2022-09-28,147.63999938964844,150.63999938964844,144.83999633789062,149.83999633789062,148.3695068359375,146691400,154.47999877929686,160.81134922562353,148.1486483329702,39.92834609557056
2022-09-29,146.10000610351562,146.72000122070312,140.67999267578125,142.47999572753906,141.08175659179688,128138200,153.74299850463868,161.8183816427611,145.66761536651626,32.05694488084096
2022-09-30,141.27999877929688,143.10000610351562,138.0,138.1999969482422,136.84375,124925300,152.75499801635743,163.05390964803888,142.45608638467598,28.5341587385702
2022-10-03,138.2100067138672,143.07000732421875,137.69000244140625,142.4499969482422,141.0520477294922,114311700,152.08699798583984,163.20701100724656,140.96698496443312,36.04933516983996
2022-10-04,145.02999877929688,146.22000122070312,144.25999450683594,146.10000610351562,144.66624450683594,87830100,151.66549835205078,163.0197577121127,140.31123899198886,41.71781020647278
2022-10-05,144.07000732421875,147.3800048828125,143.00999450683594,146.39999389648438,144.96327209472656,79471000,151.18749771118163,162.5831905021112,139.79180492025208,42.17149834698834
2022-10-06,145.80999755859375,147.5399932861328,145.22000122070312,145.42999267578125,144.00279235839844,68402200,150.73599700927736,162.29170176761914,139.18029225093557,41.05854115110715
2022-10-07,142.5399932861328,143.10000610351562,139.4499969482422,140.08999633789062,138.7152099609375,85925600,149.8719970703125,161.8892267329144,137.85476740771057,35.50353671991766
2022-10-10,140.4199981689453,141.88999938964844,138.57000732421875,140.4199981689453,139.04197692871094,74899000,148.72149734497071,159.6861413414887,137.75685334845272,36.07908787867654
2022-10-11,139.89999389648438,141.35000610351562,138.22000122070312,138.97999572753906,137.6160888671875,77033700,147.97849731445314,159.45694608392373,136.50004854498255,34.62699499012062
2022-10-12,139.1300048828125,140.36000061035156,138.16000366210938,138.33999633789062,136.9823760986328,70433700,147.12999725341797,158.82208593714446,135.43790856969147,33.972557594980785
2022-10-13,134.99000549316406,143.58999633789062,134.3699951171875,142.99000549316406,141.58676147460938,113224000,146.6609977722168,158.2265278753806,135.095467669053,42.47884125250153
2022-10-14,144.30999755859375,144.52000427246094,138.19000244140625,138.3800048828125,137.02200317382812,88598000,146.0449981689453,157.99053835348076,134.09945798440987,37.34253364573591
2022-10-17,141.07000732421875,142.89999389648438,140.27000427246094,142.41000366210938,141.01246643066406,85250900,145.44149856567384,156.8279766632246,134.05502046812308,43.74606957338922
2022-10-18,145.49000549316406,146.6999969482422,140.61000061035156,143.75,142.3393096923828,99136600,144.78399887084962,154.8951546159423,134.67284312575694,45.73204494236085
2022-10-19,141.69000244140625,144.9499969482422,141.5,143.86000061035156,142.44822692871094,61758300,144.29099884033204,153.53565142109036,135.0463462595737,45.90088958170528
2022-10-20,143.02000427246094,145.88999938964844,142.64999389648438,143.38999938964844,141.9828338623047,64522000,143.82349853515626,152.21841321701393,135.4285838532986,45.253031218187125
2022-10-21,142.8699951171875,147.85000610351562,142.64999389648438,147.27000427246094,145.82473754882812,86548600,143.66549911499024,151.66682804473749,135.664170185243,51.35681249350146
2022-10-24,147.19000244140625,150.22999572753906,146.0,149.4499969482422,147.9833526611328,75981900,143.5994987487793,151.38417117468933,135.81482632286927,54.430903682958835
2022-10-25,150.08999633789062,152.49000549316406,149.36000061035156,152.33999633789062,150.844970703125,74732300,143.62849884033204,151.5378782202255,135.71911946043858,58.202079625123496
2022-10-26,150.9600067138672,151.99000549316406,148.0399932861328,149.35000610351562,147.8843231201172,88194300,143.60399932861327,151.43895115430328,135.76904750292326,53.28851472938199
2022-10-27,148.07000732421875,149.0500030517578,144.1300048828125,144.8000030517578,143.37899780273438,109180200,143.71999969482422,151.5536485210832,135.88635086856524,46.81199169657099
2022-10-28,148.1999969482422,157.5,147.82000732421875,155.74000549316406,154.21163940429688,164762400,144.5970001220703,153.60208517161655,135.59191507252407,59.5436597344764
2022-10-31,153.16000366210938,154.24000549316406,151.9199981689453,153.33999633789062,151.83518981933594,97943200,145.14150009155273,154.85086196156155,135.4321382215439,56.35655608810018
2022-11-01,155.0800018310547,155.4499969482422,149.1300048828125,150.64999389648438,149.1715850830078,80379300,145.36899948120117,155.36648106800192,135.37151789440043,52.936447351870115
2022-11-02,148.9499969482422,152.1699981689453,145.0,145.02999877929688,143.60671997070312,93604600,145.3004997253418,155.28755452695964,135.31344492372398,46.57679962873055
2022-11-03,142.05999755859375,142.8000030517578,138.75,138.8800048828125,137.51708984375,97918500,144.97300033569337,155.34379766904163,134.6022030023451,40.80029645285989
2022-11-04,142.08999633789062,142.6699981689453,134.3800048828125,138.3800048828125,137.24929809570312,140814800,144.88750076293945,155.4444401310257,134.33056139485322,40.3620198697468
2022-11-07,137.11000061035156,139.14999389648438,135.6699981689453,138.9199981689453,137.78488159179688,83374600,144.81250076293946,155.5156297623417,134.10937176353724,41.09791956340953
2022-11-08,140.41000366210938,141.42999267578125,137.49000549316406,139.5,138.3601531982422,89908500,144.8385009765625,155.48721809211514,134.18978386100986,41.92680988300421
2022-11-09,138.5,138.5500030517578,134.58999633789062,134.8699951171875,133.76797485351562,74917800,144.66500091552734,155.8320451273256,133.49795670372907,37.402021465312714
2022-11-10,141.24000549316406,146.8699951171875,139.5,146.8699951171875,145.66990661621094,118854000,144.8590003967285,156.03771280855463,133.68028798490238,51.893038435746845
2022-11-11,145.82000732421875,150.00999450683594,144.3699951171875,149.6999969482422,148.47677612304688,93979700,145.425,156.37825348611946,134.47174651388056,54.56435529377356
2022-11-14,148.97000122070312,150.27999877929688,147.42999267578125,148.27999877929688,147.06838989257812,73374100,145.71849975585937,156.64742269121257,134.78957682050617,52.97481096456726
2022-11-15,152.22000122070312,153.58999633789062,148.55999755859375,150.0399932861328,148.8140106201172,89868300,146.03299942016602,157.07862205450263,134.9873767858294,54.7349026288036
2022-11-16,149.1300048828125,149.8699951171875,147.2899932861328,148.7899932861328,147.57421875,64218300,146.27949905395508,157.34017486387927,135.2188232440309,53.21157188038406
2022-11-17,146.42999267578125,151.47999572753906,146.14999389648438,150.72000122070312,149.4884796142578,80389400,146.6459991455078,157.7848963234327,135.5071019675829,55.28102441438391
2022-11-18,152.30999755859375,152.6999969482422,149.97000122070312,151.2899932861328,150.05381774902344,74829600,146.8469985961914,158.16728512346722,135.5267120689156,55.901373965205856
2022-11-21,150.16000366210938,150.3699951171875,147.72000122070312,148.00999450683594,146.8005828857422,58724100,146.7749984741211,158.04635787761762,135.5036390706246,51.476103242933526
2022-11-22,148.1300048828125,150.4199981689453,146.92999267578125,150.17999267578125,148.95285034179688,51804100,146.66699829101563,157.76302656704763,135.57097001498363,54.066787868195526
2022-11-23,149.4499969482422,151.8300018310547,149.33999633789062,151.07000732421875,149.8356170654297,58301400,146.75299835205078,157.95700883872098,135.54898786538058,55.12503112230632
2022-11-25,148.30999755859375,148.8800048828125,147.1199951171875,148.11000061035156,146.89981079101562,35195900,146.91849822998046,158.0999893221493,135.73700713781162,50.92305690693925
2022-11-28,145.13999938964844,146.63999938964844,143.3800048828125,144.22000122070312,143.0415802001953,69246000,146.3424980163574,156.81108040380653,135.8739156289083,45.96436299044037
2022-11-29,144.2899932861328,144.80999755859375,140.35000610351562,141.1699981689453,140.01651000976562,83763800,145.73399810791017,155.9157505617273,135.55224565409304,42.47221106170396
2022-11-30,141.39999389648438,148.72000122070312,140.5500030517578,148.02999877929688,146.8204345703125,111380900,145.60299835205078,155.59401232384639,135.61198438025517,51.41342929414371
2022-12-01,148.2100067138672,149.1300048828125,146.61000061035156,148.30999755859375,147.09814453125,71250400,145.76699829101562,155.82247836426242,135.71151821776883,51.743111114284495
2022-12-02,145.9600067138672,148.0,145.64999389648438,147.80999755859375,146.6022186279297,65447400,146.2134979248047,155.78762270841327,136.63937314119613,51.076612292020116
2022-12-05,147.77000427246094,150.9199981689453,145.77000427246094,146.6300048828125,145.43190002441406,68826400,146.6259979248047,155.49984789725377,137.7521479523556,49.457514334479896
2022-12-06,147.07000732421875,147.3000030517578,141.9199981689453,142.91000366210938,141.74227905273438,64727200,146.82549819946288,155.16043959816486,138.4905568007609,44.651994669978926
2022-12-07,142.19000244140625,143.3699951171875,140.0,140.94000244140625,139.7883758544922,69721100,146.8974983215332,154.9997041532211,138.79529248984528,42.30758039122126
2022-12-08,142.36000061035156,143.52000427246094,141.10000610351562,142.64999389648438,141.4844207763672,62128300,147.28649826049804,153.58860486313753,140.98439165785854,45.00666014757791
2022-12-09,142.33999633789062,145.57000732421875,140.89999389648438,142.16000366210938,140.9984130859375,76097000,147.05099868774414,153.73801609730327,140.363981278185,44.3661487488362
2022-12-12,142.6999969482422,144.5,141.05999755859375,144.49000549316406,143.3093719482422,70462700,146.79049911499024,153.45030846645363,140.13068976352685,48.14527932057778
2022-12-13,149.5,149.97000122070312,144.24000549316406,145.47000122070312,144.28135681152344,93886200,146.64999923706054,153.29673684455005,140.00326162957103,49.693142484888895
2022-12-14,145.35000610351562,146.66000366210938,141.16000366210938,143.2100067138672,142.0398406982422,82291200,146.30849990844726,152.92521596994013,139.6917838469544,46.26348687127023
2022-12-15,141.11000061035156,141.8000030517578,136.02999877929688,136.5,135.3846435546875,98931900,145.69400024414062,153.45803684263674,137.9299636456445,37.899903189674674
2022-12-16,136.69000244140625,137.64999389648438,133.72999572753906,134.50999450683594,133.41090393066406,160156900,144.88349990844728,153.693544223278,136.07345559361656,35.83105040612713
2022-12-19,135.11000061035156,135.1999969482422,131.32000732421875,132.3699951171875,131.2884063720703,79592600,143.9375,153.7937744723684,134.0812255276316,33.70059192947616
2022-12-20,131.38999938964844,133.25,129.88999938964844,132.3000030517578,131.21896362304688,77432800,143.1520004272461,154.0353516070023,132.2686492474899,33.630161177340355
2022-12-21,132.97999572753906,136.80999755859375,132.75,135.4499969482422,134.3432159423828,85928000,142.41550064086914,153.29039106190743,131.54061021983085,39.73450658894987
2022-12-22,134.35000610351562,134.55999755859375,130.3000030517578,132.22999572753906,131.14952087402344,77852100,141.47350006103517,152.44995605472565,130.4970440673447,36.08124432427674
2022-12-23,130.9199981689453,132.4199981689453,129.63999938964844,131.86000061035156,130.78257751464844,63814900,140.66100006103517,151.95335179178045,129.3686483302899,35.675356532983756
2022-12-27,131.3800048828125,131.41000366210938,128.72000122070312,130.02999877929688,128.967529296875,69007800,139.95149993896484,152.01690443767743,127.88609544025225,33.65856813846784
2022-12-28,129.6699981689453,131.02999877929688,125.87000274658203,126.04000091552734,125.0101318359375,85438400,139.19500007629395,152.67438548428626,125.71561466830164,29.714324806029524
2022-12-29,127.98999786376953,130.47999572753906,127.7300033569336,129.61000061035156,128.5509490966797,75703700,138.27400016784668,151.72999772238592,124.81800261330746,36.845373964155534
2022-12-30,128.41000366210938,129.9499969482422,127.43000030517578,129.92999267578125,128.86831665039062,77034200,137.35499992370606,150.4494975419026,124.26050230550953,37.45788635326152
